Open,High,Low,Close
3.8125,4.15625,3.8125,4.125
4.125,4.125,4,4.015625
4,4.03125,3.953125,4
4,4,3.84375,3.84375
3.734375,3.734375,3.390625,3.390625
3.5,3.703125,3.4375,3.4375
3.53125,3.578125,3.09375,3.5
3.46875,3.5625,3.453125,3.484375
3.5,3.59375,3.46875,3.578125
3.59375,3.8125,3.59375,3.609375
3.6875,3.75,3.625,3.640625
3.578125,3.65625,3.5625,3.578125
3.546875,3.640625,3.53125,3.578125
3.578125,3.65625,3.578125,3.613275
3.609375,3.625,3.53125,3.609375
3.578125,3.609375,3.515625,3.5625
3.609375,3.625,3.484375,3.515625
3.5625,3.65625,3.5625,3.59375
3.578125,3.6875,3.5625,3.65625
3.59375,3.65625,3.53125,3.5625
3.578125,3.78125,3.46875,3.765625
3.78125,4.125,3.75,3.828125
3.765625,3.765625,3.640625,3.703125
3.6875,3.75,3.625,3.75
3.75,3.75,3.609375,3.6875
3.65625,3.6875,3.609375,3.640625
3.546875,3.640625,3.515625,3.5625
3.59375,3.6875,3.5625,3.6875
3.71875,3.84375,3.71875,3.78125
3.84375,3.90625,3.796875,3.8125
3.859375,3.875,3.75,3.75
3.75,3.84375,3.71875,3.796875
3.796875,3.875,3.6875,3.734375
3.734375,3.921875,3.734375,3.921875
3.875,4.21875,3.875,4.09375
4.125,4.234375,4.078125,4.125
4.125,4.125,3.953125,4
4,4.03125,3.859375,3.890625
3.890625,3.90625,3.828125,3.828125
3.859375,3.921875,3.828125,3.890625
3.875,4,3.875,3.90625
3.90625,4.1875,3.90625,4.109375
4.078125,4.40625,4.078125,4.328125
4.359375,4.53125,4.328125,4.5
4.5,4.953125,4.5,4.9375
4.9375,5.15625,4.9375,5.078125
5.015625,5.0625,4.84375,4.96875
4.96875,5.03125,4.640625,4.796875
4.734375,4.734375,4.515625,4.53125
4.5625,4.5625,4.203125,4.28125
4.375,4.65625,4.375,4.625
4.5625,4.625,4.546875,4.625
4.59375,4.75,4.578125,4.625
4.65625,4.734375,4.59375,4.65625
4.625,4.640625,4.546875,4.59375
4.65625,4.65625,4.546875,4.609375
4.609375,4.65625,4.578125,4.578125
4.59375,4.609375,4.46875,4.5
4.390625,4.59375,4.375,4.53125
4.5,4.515625,4.40625,4.453125
4.484375,4.75,4.453125,4.75
4.6875,5.15625,4.578125,4.859375
4.890625,5.078125,4.890625,4.96875
5,5.0625,4.8125,4.96875
4.96875,5.0078,4.6875,4.78125
4.6875,5.125,4.53125,5.109375
5.140625,5.25,5.0625,5.0625
5.078125,5.125,4.621075,4.6289
4.71875,5.1875,4.71875,5.140625
5.140625,5.1875,4.90625,4.921875
4.953125,5.109375,4.953125,5.0625
5.125,5.15625,5,5.125
5.140625,5.34375,5.140625,5.3125
5.359375,5.578125,5.34375,5.5
5.5625,5.8125,5.453125,5.53125
5.5,5.9375,5.5,5.8125
5.875,5.890625,5.671875,5.734375
5.796875,5.8125,5.640625,5.703125
5.8125,6,5.8125,5.96875
6.03125,6.375,6,6.046875
6.09375,6.125,5.9375,6.015625
5.984375,6.25,5.90625,6.21875
6.234375,6.234375,6.125,6.1875
6.1875,6.25,6.125,6.125
6.125,6.125,5.921875,5.984375
5.921875,5.984375,5.71875,5.875
5.84375,5.875,5.71875,5.765625
5.75,5.8125,5.40625,5.453125
5.4375,5.671875,5.4375,5.65625
5.65625,5.765625,5.65625,5.703125
5.625,5.796875,5.34375,5.78125
5.71875,5.828125,5.625,5.75
5.75,5.8125,5.65625,5.65625
5.671875,5.6875,5.5,5.625
5.59375,5.625,5.4375,5.53125
5.46875,5.5,5.3125,5.421875
5.46875,5.671875,5.46875,5.609375
5.578125,5.671875,5.578125,5.640625
5.640625,5.71875,5.578125,5.703125
5.703125,5.734375,5.65625,5.71875
5.6875,5.734375,5.65625,5.6875
5.65625,5.71875,5.5625,5.625
5.625,5.796875,5.625,5.796875
5.75,5.765625,5.640625,5.71875
5.71875,5.734375,5.640625,5.71875
5.6875,5.71875,5.609375,5.6875
5.6875,5.71875,5.625,5.671875
5.65625,5.78125,5.640625,5.734375
5.71875,5.984375,5.703125,5.984375
5.953125,6.1875,5.921875,6.09375
6.4375,6.59375,6.4375,6.5625
6.34375,6.40625,5.5625,5.65625
5.65625,5.8125,5.5,5.65625
5.703125,5.71875,5.421875,5.609375
5.625,5.65625,5.5625,5.65625
5.703125,5.703125,5.46875,5.5625
5.59375,5.59375,5.53125,5.578125
5.625,5.625,5.359375,5.5625
5.5625,5.5625,5.15625,5.25
5.3125,5.375,5.21875,5.34375
