Cell1,Cell2,Cell3,Cell4,Cell5,Cell6,Cell7,Cell8,Cell9,RSSI1,RSSI2,RSSI3,RSSI4
1,0,0,0,0,0,0,0,0,-56,-36,-39,-68
1,0,0,0,0,0,0,0,0,-56,-32,-36,-66
1,0,0,0,0,0,0,0,0,-55,-31,-40,-67
1,0,0,0,0,0,0,0,0,-54,-31,-39,-67
1,0,0,0,0,0,0,0,0,-55,-31,-40,-62
1,0,0,0,0,0,0,0,0,-56,-31,-40,-70
1,0,0,0,0,0,0,0,0,-56,-34,-39,-67
1,0,0,0,0,0,0,0,0,-56,-34,-39,-70
1,0,0,0,0,0,0,0,0,-59,-32,-39,-70
1,0,0,0,0,0,0,0,0,-59,-34,-39,-66
1,0,0,0,0,0,0,0,0,-59,-32,-39,-66
1,0,0,0,0,0,0,0,0,-57,-33,-40,-57
1,0,0,0,0,0,0,0,0,-55,-33,-39,-59
1,0,0,0,0,0,0,0,0,-55,-32,-39,-66
1,0,0,0,0,0,0,0,0,-54,-32,-39,-66
1,0,0,0,0,0,0,0,0,-55,-33,-39,-67
1,0,0,0,0,0,0,0,0,-52,-33,-39,-62
1,0,0,0,0,0,0,0,0,-52,-33,-39,-70
1,0,0,0,0,0,0,0,0,-52,-33,-39,-67
1,0,0,0,0,0,0,0,0,-53,-33,-39,-68
1,0,0,0,0,0,0,0,0,-53,-33,-39,-69
1,0,0,0,0,0,0,0,0,-51,-34,-40,-69
1,0,0,0,0,0,0,0,0,-52,-33,-39,-69
1,0,0,0,0,0,0,0,0,-51,-34,-41,-57
1,0,0,0,0,0,0,0,0,-52,-33,-39,-65
1,0,0,0,0,0,0,0,0,-51,-33,-40,-69
1,0,0,0,0,0,0,0,0,-51,-34,-39,-69
1,0,0,0,0,0,0,0,0,-52,-34,-39,-67
1,0,0,0,0,0,0,0,0,-52,-34,-40,-66
1,0,0,0,0,0,0,0,0,-52,-33,-39,-57
1,0,0,0,0,0,0,0,0,-51,-33,-41,-57
1,0,0,0,0,0,0,0,0,-49,-34,-39,-57
1,0,0,0,0,0,0,0,0,-49,-34,-45,-57
1,0,0,0,0,0,0,0,0,-51,-34,-39,-61
1,0,0,0,0,0,0,0,0,-51,-34,-48,-61
1,0,0,0,0,0,0,0,0,-51,-34,-40,-61
1,0,0,0,0,0,0,0,0,-53,-34,-45,-61
1,0,0,0,0,0,0,0,0,-53,-34,-49,-65
1,0,0,0,0,0,0,0,0,-52,-33,-44,-68
1,0,0,0,0,0,0,0,0,-53,-35,-43,-66
1,0,0,0,0,0,0,0,0,-51,-34,-43,-65
1,0,0,0,0,0,0,0,0,-52,-34,-44,-68
1,0,0,0,0,0,0,0,0,-52,-32,-46,-68
1,0,0,0,0,0,0,0,0,-51,-32,-41,-71
1,0,0,0,0,0,0,0,0,-51,-32,-43,-62
1,0,0,0,0,0,0,0,0,-51,-32,-49,-68
1,0,0,0,0,0,0,0,0,-54,-34,-43,-67
1,0,0,0,0,0,0,0,0,-51,-33,-40,-67
1,0,0,0,0,0,0,0,0,-50,-32,-48,-66
1,0,0,0,0,0,0,0,0,-51,-34,-39,-75
1,0,0,0,0,0,0,0,0,-53,-34,-43,-64
1,0,0,0,0,0,0,0,0,-51,-34,-51,-64
1,0,0,0,0,0,0,0,0,-53,-34,-45,-65
1,0,0,0,0,0,0,0,0,-51,-33,-52,-67
1,0,0,0,0,0,0,0,0,-54,-33,-43,-66
1,0,0,0,0,0,0,0,0,-54,-32,-46,-69
1,0,0,0,0,0,0,0,0,-52,-34,-51,-68
1,0,0,0,0,0,0,0,0,-53,-33,-43,-68
1,0,0,0,0,0,0,0,0,-52,-33,-49,-68
1,0,0,0,0,0,0,0,0,-51,-33,-39,-68
1,0,0,0,0,0,0,0,0,-54,-33,-41,-70
1,0,0,0,0,0,0,0,0,-54,-34,-43,-70
1,0,0,0,0,0,0,0,0,-52,-34,-43,-70
1,0,0,0,0,0,0,0,0,-52,-35,-49,-70
1,0,0,0,0,0,0,0,0,-49,-33,-58,-70
1,0,0,0,0,0,0,0,0,-53,-33,-47,-65
1,0,0,0,0,0,0,0,0,-53,-33,-58,-65
1,0,0,0,0,0,0,0,0,-51,-33,-60,-63
1,0,0,0,0,0,0,0,0,-53,-33,-46,-68
1,0,0,0,0,0,0,0,0,-54,-33,-47,-68
1,0,0,0,0,0,0,0,0,-56,-33,-47,-68
1,0,0,0,0,0,0,0,0,-55,-33,-46,-67
1,0,0,0,0,0,0,0,0,-57,-32,-48,-64
1,0,0,0,0,0,0,0,0,-54,-33,-53,-69
1,0,0,0,0,0,0,0,0,-55,-34,-47,-69
1,0,0,0,0,0,0,0,0,-53,-32,-45,-69
1,0,0,0,0,0,0,0,0,-50,-33,-45,-66
1,0,0,0,0,0,0,0,0,-54,-34,-41,-66
1,0,0,0,0,0,0,0,0,-53,-32,-41,-68
1,0,0,0,0,0,0,0,0,-52,-33,-45,-68
1,0,0,0,0,0,0,0,0,-55,-32,-42,-75
1,0,0,0,0,0,0,0,0,-56,-32,-41,-75
1,0,0,0,0,0,0,0,0,-53,-32,-42,-65
1,0,0,0,0,0,0,0,0,-56,-32,-41,-67
1,0,0,0,0,0,0,0,0,-58,-32,-41,-63
1,0,0,0,0,0,0,0,0,-59,-32,-40,-63
1,0,0,0,0,0,0,0,0,-59,-32,-42,-63
1,0,0,0,0,0,0,0,0,-59,-32,-42,-62
1,0,0,0,0,0,0,0,0,-54,-32,-42,-64
1,0,0,0,0,0,0,0,0,-54,-32,-43,-64
1,0,0,0,0,0,0,0,0,-56,-32,-41,-59
1,0,0,0,0,0,0,0,0,-56,-32,-45,-59
1,0,0,0,0,0,0,0,0,-57,-32,-40,-57
1,0,0,0,0,0,0,0,0,-55,-33,-44,-57
1,0,0,0,0,0,0,0,0,-57,-33,-42,-68
1,0,0,0,0,0,0,0,0,-56,-32,-41,-68
1,0,0,0,0,0,0,0,0,-57,-33,-41,-65
1,0,0,0,0,0,0,0,0,-54,-33,-41,-66
1,0,0,0,0,0,0,0,0,-54,-32,-45,-66
1,0,0,0,0,0,0,0,0,-56,-32,-43,-61
1,0,0,0,0,0,0,0,0,-48,-34,-42,-69
1,0,0,0,0,0,0,0,0,-53,-34,-43,-64
1,0,0,0,0,0,0,0,0,-59,-32,-45,-59
1,0,0,0,0,0,0,0,0,-55,-32,-40,-62
1,0,0,0,0,0,0,0,0,-52,-35,-40,-67
1,0,0,0,0,0,0,0,0,-53,-33,-39,-67
1,0,0,0,0,0,0,0,0,-57,-33,-43,-68
1,0,0,0,0,0,0,0,0,-62,-32,-39,-68
1,0,0,0,0,0,0,0,0,-58,-32,-42,-69
1,0,0,0,0,0,0,0,0,-55,-35,-39,-68
1,0,0,0,0,0,0,0,0,-56,-30,-46,-68
1,0,0,0,0,0,0,0,0,-47,-32,-41,-69
1,0,0,0,0,0,0,0,0,-53,-33,-40,-58
1,0,0,0,0,0,0,0,0,-53,-33,-40,-61
1,0,0,0,0,0,0,0,0,-53,-34,-39,-57
1,0,0,0,0,0,0,0,0,-54,-32,-42,-63
1,0,0,0,0,0,0,0,0,-55,-32,-45,-67
1,0,0,0,0,0,0,0,0,-55,-32,-45,-61
1,0,0,0,0,0,0,0,0,-57,-32,-46,-62
1,0,0,0,0,0,0,0,0,-54,-32,-41,-68
1,0,0,0,0,0,0,0,0,-54,-32,-37,-55
1,0,0,0,0,0,0,0,0,-56,-32,-38,-63
1,0,0,0,0,0,0,0,0,-57,-31,-37,-64
1,0,0,0,0,0,0,0,0,-53,-31,-39,-64
1,0,0,0,0,0,0,0,0,-52,-32,-39,-69
1,0,0,0,0,0,0,0,0,-55,-33,-39,-54
1,0,0,0,0,0,0,0,0,-54,-33,-39,-64
1,0,0,0,0,0,0,0,0,-52,-33,-40,-69
1,0,0,0,0,0,0,0,0,-52,-32,-38,-70
1,0,0,0,0,0,0,0,0,-56,-33,-39,-57
1,0,0,0,0,0,0,0,0,-54,-33,-39,-73
1,0,0,0,0,0,0,0,0,-52,-33,-43,-59
1,0,0,0,0,0,0,0,0,-55,-31,-39,-63
1,0,0,0,0,0,0,0,0,-53,-32,-38,-55
1,0,0,0,0,0,0,0,0,-51,-32,-37,-69
1,0,0,0,0,0,0,0,0,-52,-33,-37,-67
1,0,0,0,0,0,0,0,0,-50,-32,-41,-70
1,0,0,0,0,0,0,0,0,-51,-33,-39,-70
1,0,0,0,0,0,0,0,0,-51,-32,-39,-70
1,0,0,0,0,0,0,0,0,-51,-32,-40,-71
1,0,0,0,0,0,0,0,0,-51,-31,-39,-69
1,0,0,0,0,0,0,0,0,-51,-31,-41,-68
1,0,0,0,0,0,0,0,0,-51,-31,-38,-71
1,0,0,0,0,0,0,0,0,-51,-31,-40,-75
1,0,0,0,0,0,0,0,0,-51,-33,-39,-69
1,0,0,0,0,0,0,0,0,-53,-32,-39,-69
1,0,0,0,0,0,0,0,0,-52,-32,-39,-68
1,0,0,0,0,0,0,0,0,-51,-32,-41,-70
1,0,0,0,0,0,0,0,0,-52,-33,-40,-69
1,0,0,0,0,0,0,0,0,-53,-32,-42,-70
1,0,0,0,0,0,0,0,0,-52,-32,-39,-67
1,0,0,0,0,0,0,0,0,-51,-32,-43,-67
1,0,0,0,0,0,0,0,0,-51,-32,-39,-64
1,0,0,0,0,0,0,0,0,-51,-32,-40,-66
1,0,0,0,0,0,0,0,0,-51,-32,-41,-66
1,0,0,0,0,0,0,0,0,-51,-32,-41,-66
1,0,0,0,0,0,0,0,0,-51,-32,-44,-66
1,0,0,0,0,0,0,0,0,-51,-33,-41,-70
1,0,0,0,0,0,0,0,0,-51,-31,-40,-70
1,0,0,0,0,0,0,0,0,-51,-32,-41,-70
1,0,0,0,0,0,0,0,0,-53,-32,-39,-68
1,0,0,0,0,0,0,0,0,-54,-32,-41,-58
1,0,0,0,0,0,0,0,0,-53,-33,-40,-72
1,0,0,0,0,0,0,0,0,-53,-32,-39,-72
1,0,0,0,0,0,0,0,0,-56,-32,-39,-72
1,0,0,0,0,0,0,0,0,-55,-32,-39,-66
1,0,0,0,0,0,0,0,0,-54,-31,-38,-67
1,0,0,0,0,0,0,0,0,-55,-32,-39,-68
1,0,0,0,0,0,0,0,0,-56,-32,-37,-56
1,0,0,0,0,0,0,0,0,-55,-32,-37,-56
1,0,0,0,0,0,0,0,0,-57,-33,-39,-56
1,0,0,0,0,0,0,0,0,-52,-33,-37,-62
1,0,0,0,0,0,0,0,0,-53,-33,-39,-62
1,0,0,0,0,0,0,0,0,-57,-32,-39,-62
1,0,0,0,0,0,0,0,0,-55,-32,-37,-62
1,0,0,0,0,0,0,0,0,-60,-32,-37,-75
1,0,0,0,0,0,0,0,0,-59,-34,-36,-75
1,0,0,0,0,0,0,0,0,-62,-33,-37,-75
1,0,0,0,0,0,0,0,0,-58,-32,-37,-75
1,0,0,0,0,0,0,0,0,-53,-34,-39,-64
1,0,0,0,0,0,0,0,0,-51,-34,-39,-64
1,0,0,0,0,0,0,0,0,-54,-31,-42,-64
1,0,0,0,0,0,0,0,0,-52,-31,-39,-66
1,0,0,0,0,0,0,0,0,-52,-32,-40,-67
1,0,0,0,0,0,0,0,0,-52,-33,-37,-72
1,0,0,0,0,0,0,0,0,-53,-34,-40,-72
1,0,0,0,0,0,0,0,0,-53,-35,-39,-72
1,0,0,0,0,0,0,0,0,-53,-33,-39,-73
1,0,0,0,0,0,0,0,0,-52,-35,-40,-69
1,0,0,0,0,0,0,0,0,-51,-35,-41,-69
1,0,0,0,0,0,0,0,0,-51,-35,-41,-69
